Player,Age,Team,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards
Marshawn Lynch,23.0,BUF,13.0,6.0,37.0,28.0,179.0,6.4,0.0,6.0,27.0,35.0,2.2,13.8,75.7,4.8,3.0,
Knowshon Moreno,22.0,DEN,16.0,9.0,41.0,28.0,213.0,7.6,2.0,8.0,41.5,27.0,1.8,13.3,68.3,5.2,4.0,AP ORoY-3
Cadillac Williams,27.0,TAM,16.0,15.0,39.0,28.0,217.0,7.8,3.0,10.0,46.2,22.0,1.8,13.6,71.8,5.6,1.0,AP CPoY-2
Rock Cartwright,30.0,WAS,16.0,2.0,32.0,27.0,242.0,9.0,1.0,10.0,50.0,51.0,1.7,15.1,84.4,7.6,0.0,
Alge Crumpler,32.0,TEN,16.0,14.0,37.0,27.0,222.0,8.2,1.0,9.0,59.5,27.0,1.7,13.9,73.0,6.0,1.0,
J.P. Foschi,27.0,CIN,15.0,10.0,37.0,27.0,260.0,9.6,2.0,9.0,45.9,27.0,1.8,17.3,73.0,7.0,1.0,
Jacoby Jones,25.0,HOU,14.0,1.0,40.0,27.0,437.0,16.2,6.0,19.0,57.5,45.0,1.9,31.2,67.5,10.9,2.0,
Josh Reed,29.0,BUF,14.0,4.0,45.0,27.0,291.0,10.8,1.0,18.0,48.9,29.0,1.9,20.8,60.0,6.5,3.0,
Marion Barber III,26.0,DAL,15.0,15.0,36.0,26.0,221.0,8.5,0.0,10.0,47.2,42.0,1.7,14.7,72.2,6.1,2.0,
Joel Dreessen,27.0,HOU,16.0,11.0,39.0,26.0,320.0,12.3,1.0,16.0,66.7,25.0,1.6,20.0,66.7,8.2,0.0,
Maurice Morris,30.0,DET,14.0,3.0,38.0,26.0,210.0,8.1,0.0,7.0,50.0,19.0,1.9,15.0,68.4,5.5,1.0,
Dante Rosario,25.0,CAR,14.0,8.0,48.0,26.0,313.0,12.0,2.0,19.0,45.8,26.0,1.9,22.4,54.2,6.5,0.0,
Keenan Burton,25.0,STL,9.0,6.0,45.0,25.0,253.0,10.1,0.0,16.0,51.1,25.0,2.8,28.1,55.6,5.6,0.0,
Ryan Grant,27.0,GNB,16.0,16.0,30.0,25.0,197.0,7.9,0.0,9.0,56.7,27.0,1.6,12.3,83.3,6.6,1.0,
Malcolm Kelly,23.0,WAS,16.0,10.0,41.0,25.0,347.0,13.9,0.0,15.0,51.2,84.0,1.6,21.7,61.0,8.5,0.0,
Jeff King,26.0,CAR,16.0,15.0,33.0,25.0,200.0,8.0,3.0,12.0,60.6,32.0,1.6,12.5,75.8,6.1,1.0,
Rashard Mendenhall,22.0,PIT,16.0,12.0,32.0,25.0,261.0,10.4,1.0,13.0,56.3,26.0,1.6,16.3,78.1,8.2,3.0,
Devin Thomas,23.0,WAS,14.0,10.0,47.0,25.0,325.0,13.0,3.0,17.0,40.4,40.0,1.8,23.2,53.2,6.9,0.0,
Brian Westbrook,30.0,PHI,8.0,7.0,34.0,25.0,181.0,7.2,1.0,8.0,41.2,34.0,3.1,22.6,73.5,5.3,0.0,
Devin Aromashodu,25.0,CHI,10.0,2.0,43.0,24.0,298.0,12.4,4.0,15.0,53.5,39.0,2.4,29.8,55.8,6.9,0.0,
Mark Bradley,27.0,KAN,13.0,6.0,57.0,24.0,320.0,13.3,2.0,11.0,29.8,50.0,1.8,24.6,42.1,5.6,0.0,
Legedu Naanee,26.0,SDG,15.0,1.0,29.0,24.0,242.0,10.1,2.0,14.0,72.4,23.0,1.6,16.1,82.8,8.3,0.0,
Maurice Stovall,24.0,TAM,15.0,7.0,47.0,24.0,366.0,15.3,1.0,17.0,42.6,38.0,1.6,24.4,51.1,7.8,0.0,
Mike Furrey,32.0,CLE,16.0,4.0,39.0,23.0,170.0,7.4,0.0,12.0,43.6,22.0,1.4,10.6,59.0,4.4,0.0,
Jordy Nelson,24.0,GNB,13.0,0.0,31.0,22.0,320.0,14.5,2.0,15.0,67.7,51.0,1.7,24.6,71.0,10.3,3.0,
Ahmad Bradshaw,23.0,NYG,15.0,1.0,30.0,21.0,207.0,9.9,0.0,6.0,36.7,55.0,1.4,13.8,70.0,6.9,3.0,
Isaac Bruce,37.0,SFO,10.0,7.0,49.0,21.0,264.0,12.6,0.0,13.0,36.7,50.0,2.1,26.4,42.9,5.4,0.0,
