Player,Age,Team,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Fmb,Awards
Don Hasselbeck,26,NWE,14,14,0,0,0,,,0.0,0.0,2,
David Hill,27,DET,15,15,0,0,0,,,0.0,0.0,1,
Pete Holohan,22,SDG,7,0,0,0,0,,,0.0,0.0,0,
Mike Holston,23,HOU,16,4,0,0,0,,,0.0,0.0,0,
Ken Huff,28,BAL,16,16,0,0,0,,,0.0,0.0,0,
Alfred Jenkins,29,ATL,16,16,0,0,0,,,0.0,0.0,3,"PB,AP-1"
Ron Jessie,33,BUF,15,0,0,0,0,,,0.0,0.0,0,
Paul Johns,23,SEA,16,0,0,0,0,,,0.0,0.0,1,
Butch Johnson,27,DAL,16,7,0,0,0,,,0.0,0.0,0,
Charlie Joiner,34,SDG,16,16,0,0,0,,,0.0,0.0,2,
Bobby Jones,26,NYJ,16,3,0,0,0,,,0.0,0.0,0,
Gordon Jones,24,TAM,13,4,0,0,0,,,0.0,0.0,0,
Keith Krepfle,29,PHI,16,16,0,0,0,,,0.0,0.0,0,
Dave Lafary,26,NOR,16,4,0,0,0,,,0.0,0.0,0,
Greg LaFleur,23,STL,16,11,0,0,0,,,0.0,0.0,0,
Ronnie Lee,25,MIA,16,16,0,0,0,,,0.0,0.0,0,
Frank Lewis,34,BUF,16,16,0,0,0,,,0.0,0.0,1,PB
Gary Lewis,23,GNB,16,0,0,0,0,,,0.0,0.0,0,
James Lofton,25,GNB,16,16,0,0,0,,,0.0,0.0,0,"PB,AP-1"
Dave Logan,27,CLE,14,14,0,0,0,,,0.0,0.0,0,
Wade Manning,26,DEN,16,0,0,0,0,,,0.0,0.0,3,
Doug Marsh,23,STL,4,3,0,0,0,,,0.0,0.0,1,
Rich Martini,26,NOR,12,0,0,0,0,,,0.0,0.0,0,
Reese McCall,25,BAL,16,14,0,0,0,,,0.0,0.0,0,
Greg McCrary,29,WAS,5,0,0,0,0,,,0.0,0.0,0,
