Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
Brian Russell,27,CLE,FS,16,16,3,50,0,37,7,0,0,0,0,0,0.0,70,47,23,0,0,
Jeff Saturday,30,IND,C,16,16,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,"PB,AP-1"
Aaron Schobel,28,BUF,RDE,16,16,1,0,0,0,5,2,0,1,0,0,12.0,71,54,17,14,0,
Lance Schulters,30,MIA,FS,16,16,4,78,0,37,6,1,0,0,0,0,2.0,77,57,20,1,0,
Jake Scott,24,IND,RG,16,16,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,
Brian Simmons,30,CIN,RLB,16,16,2,15,0,16,7,3,1,0,0,0,4.0,84,52,32,4,0,
Barry Sims,31,OAK,LT,16,16,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,
Aaron Smith,29,PIT,LDE,16,16,1,0,0,0,3,1,0,1,0,0,2.0,45,32,13,9,0,
Daryl Smith,23,JAX,RLB,16,16,1,0,0,0,2,0,0,0,0,0,4.0,82,70,12,10,0,
Derek Smith,30,SFO,RILB/LILB,16,16,1,13,0,13,7,0,0,1,0,1,0.0,116,90,26,12,0,
Justin Smith,26,CIN,LDE,16,16,0,0,0,0,2,1,0,1,0,0,6.0,66,45,21,10,0,
L.J. Smith,25,PHI,TE,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,
Robaire Smith,28,HOU,RDE,16,16,0,0,0,0,4,0,0,1,3,0,1.5,68,43,25,10,0,
Rod Smith,35,DEN,WR,16,16,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,PB
Steve Smith Sr.,26,CAR,WR,16,16,0,0,0,0,0,0,2,2,5,0,0.0,0,0,0,0,0,"PB,AP-1,AP CPoY-1"
Chris Snee,23,NYG,RG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,
Greg Spires,31,TAM,LDE,16,16,0,0,0,0,1,1,0,0,0,0,4.0,47,35,12,6,0,
Randy Starks,22,TEN,LDT,16,16,0,0,0,0,1,0,0,0,0,0,3.0,48,34,14,6,0,
Ron Stone,34,OAK,RG,16,16,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,
Michael Strahan,34,NYG,LDE,16,16,0,0,0,0,2,1,0,1,0,0,11.5,82,61,21,18,0,"PB,AP-2"
Marcus Stroud,27,JAX,LDT/RDT,16,16,0,0,0,0,5,1,0,0,0,0,1.0,43,32,11,6,0,"PB,AP DPoY-6"
Terrell Suggs,23,BAL,RDE,16,16,2,38,0,38,5,3,0,1,0,0,8.0,69,46,23,6,0,
Lofa Tatupu,23,SEA,MLB,16,16,3,55,1,38,10,0,0,1,0,0,4.0,105,85,20,9,0,"PB,AP DRoY-2"
Mark Tauscher,28,GNB,RT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,1,1,0,0,0,
Ben Taylor,27,CLE,RILB,16,16,0,0,0,0,3,0,0,0,0,0,0.0,113,77,36,2,0,
Jason Taylor,31,MIA,RDE,16,16,0,0,0,0,10,4,0,2,85,1,12.0,73,52,21,12,1,PB
Trey Teague,31,BUF,C,16,16,0,0,0,0,,0,0,1,0,0,0.0,,,,,0,
Adalius Thomas,28,BAL,LLB,16,16,2,48,1,28,5,4,0,4,44,2,9.0,86,71,15,8,0,
Lamont Thompson,27,TEN,FS,16,16,1,0,0,0,3,1,0,0,0,0,1.0,81,62,19,2,0,
David Thornton,27,IND,LLB,16,16,0,0,0,0,1,2,0,0,0,0,2.0,83,61,22,1,0,
John Thornton,29,CIN,RDT,16,16,1,0,0,0,1,1,0,1,0,0,2.0,42,24,18,7,0,
Pisa Tinoisamoa,24,STL,LLB,16,16,2,35,0,20,9,1,0,0,0,0,1.5,94,71,23,7,0,
LaDainian Tomlinson,26,SDG,RB,16,16,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0,0,"PB,AP-2"
Osi Umenyiora,24,NYG,RDE,16,16,0,0,0,0,3,4,0,2,0,0,14.5,71,49,22,13,0,"PB,AP-1,AP DPoY-4"
Brian Urlacher,27,CHI,MLB,16,16,0,0,0,0,5,1,0,0,0,0,6.0,122,98,24,17,0,"PB,AP-1,AP DPoY-1"
Kyle Vanden Bosch,27,TEN,LDE,16,16,0,0,0,0,1,4,0,1,0,0,12.5,66,41,25,14,0,"PB,AP CPoY-4"
Jonathan Vilma,23,NYJ,MLB,16,16,1,1,0,1,6,4,1,1,4,0,0.5,173,128,45,7,0,PB
Troy Vincent,35,BUF,FS,16,16,4,78,0,42,8,1,0,2,0,0,0.0,67,43,24,1,0,
Kimo von Oelhoffen,34,PIT,RDE,16,16,0,0,0,0,4,1,0,0,0,0,3.5,36,23,13,6,0,
Mike Vrabel,30,NWE,RILB,16,16,2,23,1,24,5,1,0,0,0,0,4.5,108,73,35,7,0,
Mike Wahle,28,CAR,LG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,PB
DeMarcus Ware,23,DAL,ROLB,16,16,0,0,0,0,1,3,0,0,0,0,8.0,58,47,11,15,0,AP DRoY-4
Gerard Warren,27,DEN,RDT,16,16,0,0,0,0,3,1,0,0,0,0,3.0,19,14,5,3,0,
Ty Warren,24,NWE,LDE,16,16,0,0,0,0,1,0,0,1,5,0,1.5,68,40,28,6,0,
Marcus Washington,28,WAS,LLB,16,16,1,41,0,41,8,3,0,2,-1,0,7.5,94,74,20,11,0,
Ted Washington,37,OAK,LDT,16,16,0,0,0,0,2,1,0,0,0,0,0.0,48,38,10,3,0,
Brian Waters,28,KAN,LG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,"PB,AP-1"
Reggie Wayne,27,IND,WR,16,16,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,
Greg Wesley,27,KAN,FS,16,16,6,106,0,51,8,1,0,0,0,0,0.0,83,66,17,1,0,
Vince Wilfork,24,NWE,NT,16,16,0,0,0,0,1,0,0,1,0,0,0.5,54,40,14,2,0,
Dan Wilkinson,32,DET,RDT,16,16,0,0,0,0,4,0,0,0,0,0,3.0,26,20,6,6,1,
Demorrio Williams,25,ATL,RLB,16,16,2,6,0,6,3,1,0,1,0,0,3.0,127,99,28,9,0,
Jamal Williams,29,SDG,NT,16,16,0,0,0,0,4,0,0,1,0,0,0.0,53,40,13,4,0,"PB,AP-1"
Maurice Williams,26,JAX,RT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,
Pat Williams,33,MIN,LDT,16,16,0,0,0,0,1,1,0,1,0,0,1.5,67,42,25,7,0,
Roy Williams,25,DAL,SS,16,16,3,52,1,46,10,3,0,1,0,0,2.5,84,72,12,4,0,PB
Tank Williams,25,TEN,SS,16,16,1,1,0,1,5,0,0,1,5,0,0.0,78,58,20,4,0,
Adrian Wilson,26,ARI,SS,16,16,1,36,0,36,9,2,0,2,0,0,8.0,109,93,16,13,0,AP DPoY-4
Eugene Wilson,25,NWE,FS,16,16,1,0,0,0,7,0,0,1,0,0,0.0,68,44,24,0,0,
Gibril Wilson,24,NYG,SS,16,16,2,36,0,19,5,2,0,0,0,0,3.0,114,92,22,4,0,
Antoine Winfield,28,MIN,LCB,16,16,4,5,0,4,8,0,0,2,0,0,0.0,98,89,9,1,0,
Grant Wistrom,29,SEA,RDE,16,16,0,0,0,0,6,0,0,0,0,0,4.0,52,41,11,6,0,
Kenny Wright,28,JAX,RCB,16,16,2,4,0,4,6,0,0,0,0,0,0.0,64,55,9,0,0,
Brian Young,28,NOR,LDT,16,16,0,0,0,0,0,0,0,0,0,0,0.0,51,38,13,3,0,
John Abraham,27,NYJ,RDE,16,15,0,0,0,0,2,6,0,1,0,0,10.5,58,44,14,6,0,
Jared Allen,23,KAN,RDE,16,15,0,0,0,0,5,6,0,2,0,0,11.0,58,51,7,12,0,
Mark Bruener,33,HOU,TE,16,15,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,
Mark Brunell,35,WAS,QB,16,15,0,0,0,0,0,0,11,1,-17,0,0.0,0,0,0,0,0,AP CPoY-3
Antonio Bryant,24,CLE,WR,16,15,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,
Plaxico Burress,28,NYG,WR,16,15,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,
Jordan Carstens,24,CAR,RDT,16,15,0,0,0,0,1,1,0,0,0,0,4.0,36,24,12,3,0,
Luis Castillo,22,SDG,LDE,16,15,0,0,0,0,3,1,0,0,0,0,3.5,49,37,12,7,0,
Kendrick Clancy,27,NYG,LDT,16,15,0,0,0,0,0,2,0,1,0,0,2.0,39,32,7,10,0,
Danny Clark,28,OAK,MLB,16,15,0,0,0,0,7,0,0,0,0,0,1.0,113,82,31,6,0,
Keith Davis,27,DAL,FS,16,15,0,0,0,0,3,0,0,1,5,0,0.0,66,47,19,1,0,
Marques Douglas,28,SFO,RDE,16,15,0,0,0,0,2,1,0,2,0,0,1.0,58,44,14,2,0,
Bryce Fisher,28,SEA,LDE,16,15,0,0,0,0,8,2,0,0,0,0,9.0,47,34,13,7,0,
Gus Frerotte,34,MIA,QB,16,15,0,0,0,0,0,0,13,4,-36,0,0.0,,,,,0,
Justin Griffith,25,ATL,FB,16,15,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,
Casey Hampton,28,PIT,NT,16,15,0,0,0,0,0,0,0,0,0,0,0.0,44,27,17,5,0,PB
Anthony Hargrove,22,STL,RDE,16,15,0,0,0,0,0,0,0,2,0,0,6.5,,,,,0,
John Henderson,26,JAX,RDT,16,15,0,0,0,0,7,1,0,0,0,0,3.0,70,53,17,8,0,
Brandon Lloyd,24,SFO,WR,16,15,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,
